name	desc	unit	group
XXL-VLDL-P	Concentration of chylomicrons and extremely large VLDL particles	mol/l	Lipoprotein subclasses: Chylomicrons and extremely large VLDL
XXL-VLDL-L	Total lipids in chylomicrons and extremely large VLDL 	mmol/l	Lipoprotein subclasses: Chylomicrons and extremely large VLDL
XXL-VLDL-PL	Phospholipids in chylomicrons and extremely large VLDL 	mmol/l	Lipoprotein subclasses: Chylomicrons and extremely large VLDL
XXL-VLDL-C	Total cholesterol in chylomicrons and extremely large VLDL 	mmol/l	Lipoprotein subclasses: Chylomicrons and extremely large VLDL
XXL-VLDL-CE	Cholesterol esters in chylomicrons and extremely large VLDL 	mmol/l	Lipoprotein subclasses: Chylomicrons and extremely large VLDL
XXL-VLDL-FC	Free cholesterol in chylomicrons and extremely large VLDL 	mmol/l	Lipoprotein subclasses: Chylomicrons and extremely large VLDL
XXL-VLDL-TG	Triglycerides in chylomicrons and extremely large VLDL 	mmol/l	Lipoprotein subclasses: Chylomicrons and extremely large VLDL
XL-VLDL-P	Concentration of very large VLDL particles	mol/l	Lipoprotein subclasses: Very large VLDL
XL-VLDL-L	Total lipids in very large VLDL 	mmol/l	Lipoprotein subclasses: Very large VLDL
XL-VLDL-PL	Phospholipids in very large VLDL 	mmol/l	Lipoprotein subclasses: Very large VLDL
XL-VLDL-C	Total cholesterol in very large VLDL 	mmol/l	Lipoprotein subclasses: Very large VLDL
XL-VLDL-CE	Cholesterol esters in very large VLDL 	mmol/l	Lipoprotein subclasses: Very large VLDL
XL-VLDL-FC	Free cholesterol in very large VLDL 	mmol/l	Lipoprotein subclasses: Very large VLDL
XL-VLDL-TG	Triglycerides in very large VLDL 	mmol/l	Lipoprotein subclasses: Very large VLDL
L-VLDL-P	Concentration of large VLDL particles	mol/l	Lipoprotein subclasses: Large VLDL
L-VLDL-L	Total lipids in large VLDL 	mmol/l	Lipoprotein subclasses: Large VLDL
L-VLDL-PL	Phospholipids in large VLDL 	mmol/l	Lipoprotein subclasses: Large VLDL
L-VLDL-C	Total cholesterol in large VLDL 	mmol/l	Lipoprotein subclasses: Large VLDL
L-VLDL-CE	Cholesterol esters in large VLDL 	mmol/l	Lipoprotein subclasses: Large VLDL
L-VLDL-FC	Free cholesterol in large VLDL 	mmol/l	Lipoprotein subclasses: Large VLDL
L-VLDL-TG	Triglycerides in large VLDL 	mmol/l	Lipoprotein subclasses: Large VLDL
M-VLDL-P	Concentration of medium VLDL particles	mol/l	Lipoprotein subclasses: Medium VLDL
M-VLDL-L	Total lipids in medium VLDL 	mmol/l	Lipoprotein subclasses: Medium VLDL
M-VLDL-PL	Phospholipids in medium VLDL 	mmol/l	Lipoprotein subclasses: Medium VLDL
M-VLDL-C	Total cholesterol in medium VLDL 	mmol/l	Lipoprotein subclasses: Medium VLDL
M-VLDL-CE	Cholesterol esters in medium VLDL 	mmol/l	Lipoprotein subclasses: Medium VLDL
M-VLDL-FC	Free cholesterol in medium VLDL 	mmol/l	Lipoprotein subclasses: Medium VLDL
M-VLDL-TG	Triglycerides in medium VLDL 	mmol/l	Lipoprotein subclasses: Medium VLDL
S-VLDL-P	Concentration of small VLDL particles	mol/l	Lipoprotein subclasses: Small VLDL
S-VLDL-L	Total lipids in small VLDL 	mmol/l	Lipoprotein subclasses: Small VLDL
S-VLDL-PL	Phospholipids in small VLDL 	mmol/l	Lipoprotein subclasses: Small VLDL
S-VLDL-C	Total cholesterol in small VLDL 	mmol/l	Lipoprotein subclasses: Small VLDL
S-VLDL-CE	Cholesterol esters in small VLDL 	mmol/l	Lipoprotein subclasses: Small VLDL
S-VLDL-FC	Free cholesterol in small VLDL 	mmol/l	Lipoprotein subclasses: Small VLDL
S-VLDL-TG	Triglycerides in small VLDL 	mmol/l	Lipoprotein subclasses: Small VLDL
XS-VLDL-P	Concentration of very small VLDL particles	mol/l	Lipoprotein subclasses: Very small VLDL
XS-VLDL-L	Total lipids in very small VLDL 	mmol/l	Lipoprotein subclasses: Very small VLDL
XS-VLDL-PL	Phospholipids in very small VLDL 	mmol/l	Lipoprotein subclasses: Very small VLDL
XS-VLDL-C	Total cholesterol in very small VLDL 	mmol/l	Lipoprotein subclasses: Very small VLDL
XS-VLDL-CE	Cholesterol esters in very small VLDL 	mmol/l	Lipoprotein subclasses: Very small VLDL
XS-VLDL-FC	Free cholesterol in very small VLDL 	mmol/l	Lipoprotein subclasses: Very small VLDL
